,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
0,6598547,12/05/2016 03:50:30 PM,,12/05/2016 03:50:30 PM,Open,accepted,DPW Ops Queue,Graffiti Private Property,Not_Offensive Graffiti on Private Property,Building_other - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5845fd3f3da19793c74bdb02/report.jpg
1,6590597,12/03/2016 08:56:00 AM,,12/03/2016 08:56:00 AM,Open,accepted,DPW Ops Queue,Graffiti Private Property,Not_Offensive Graffiti on Private Property,Building_other - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5842f91b3da18eff3dab2864/report.jpg
2,6590590,12/03/2016 08:54:02 AM,,12/03/2016 08:58:23 AM,Open,open,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5842f8a23da18eff3dab282e/report.jpg
3,6590586,12/03/2016 08:52:46 AM,,12/03/2016 09:08:55 AM,Open,accepted,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,"586 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Mission Dolores,"(37.761469775816, -122.428569714336)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5842f8553da18eff3dab280a/report.jpg
4,6583496,12/01/2016 09:33:46 AM,,12/01/2016 09:33:46 AM,Open,accepted,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Signal_box - Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/58405eed3da18eff3daae52b/report.jpg
5,6579047,11/30/2016 08:18:50 AM,12/05/2016 10:25:29 AM,12/05/2016 10:25:29 AM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Misc - City Garbage Can,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,City_receptacle - Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/583efbe03da18eff3daabcf4/report.jpg
6,6579043,11/30/2016 08:18:19 AM,12/05/2016 10:25:30 AM,12/05/2016 10:25:30 AM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Misc - City Garbage Can,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Signal_box - Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/583efbc23da18eff3daabcdf/report.jpg
7,6568288,11/27/2016 08:33:12 AM,12/02/2016 09:15:46 AM,12/02/2016 09:15:46 AM,Closed,Case Resolved - SES Graffiti Crew  - Clean using chemicals - Misc - Other Work,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,City_receptacle - Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/583b0ac23da18eff3daa42e1/report.jpg
8,6568251,11/27/2016 08:11:37 AM,12/02/2016 09:15:37 AM,12/02/2016 09:15:37 AM,Closed,Case Resolved - SES Graffiti Crew  - Clean using chemicals - Misc - Other Work,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/583b05b43da18eff3daa425c/report.jpg
9,6557087,11/22/2016 01:51:48 PM,11/23/2016 05:41:47 AM,11/23/2016 05:41:47 AM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
10,6547368,11/19/2016 10:21:28 AM,11/25/2016 10:25:32 AM,11/25/2016 10:25:32 AM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Box - Big Signal Light,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/583076ec3da18eff3da9626e/report.jpg
11,6547322,11/19/2016 10:18:11 AM,11/21/2016 06:01:18 AM,11/21/2016 06:01:18 AM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,"3803 18TH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761161068222, -122.428524351928)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5830769c3da18eff3da96263/report.jpg
