00,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
0,6647899,2016-12-20 18:25:29,2016-12-20 19:01:23,2016-12-20 19:01:23,Closed,Insufficient Information - Insufficient infomation provided for action to be taken.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,"2300 16TH ST, SAN FRANCISCO, CA, 94103",10,Mission,"(37.765819504411, -122.409006416036)",Open311,
1,6646409,2016-12-20 12:56:13,2016-12-20 14:35:34,2016-12-20 14:35:34,Closed,Case Resolved - Police Officer responded to request under CAD # 163551927. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,Intersection of 17TH ST and ALABAMA ST,9,Mission,"(37.7641932415638, -122.412293308964)",Open311,
2,6645086,2016-12-20 08:56:57,2016-12-20 13:05:06,2016-12-20 13:05:06,Closed,Case Resolved - Police Officer responded to request under CAD # 163550928. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,Intersection of CLINTON PARK and STEVENSON ST,9,Mission,"(37.7693386881199, -122.42147026036)",Open311,
3,6644743,2016-12-20 07:28:00,,2016-12-20 08:29:44,Open,open,DPW Ops Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"268 ALABAMA ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766253915935, -122.412683298059)",Web Self Service,
4,6643772,2016-12-19 16:30:29,2016-12-19 17:59:14,2016-12-19 17:59:14,Closed,"Case Resolved - Unknown CAD Disposition, Default to Resolved",Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"1455 15TH ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766737610945, -122.416803869036)",Open311,
5,6638204,2016-12-17 16:22:57,2016-12-17 23:19:53,2016-12-17 23:19:53,Closed,Case Resolved - Police Officer responded to request under CAD # 163522494. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of 16TH ST and SHOTWELL ST,9,Mission,"(37.765249409965, -122.416387642122)",Open311,
6,6637520,2016-12-17 12:01:32,2016-12-18 04:19:31,2016-12-18 04:19:31,Closed,Case Resolved - Police Officer responded to request under CAD # 163521566. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,"3300 26TH ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.749287646651, -122.416218783083)",Open311,
7,6637477,2016-12-17 11:45:34,2016-12-17 12:03:01,2016-12-17 12:03:01,Closed,Insufficient Information - Insufficient infomation provided for action to be taken.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"240 SHOTWELL ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.764751154394, -122.416438535593)",Open311,
8,6637472,2016-12-17 11:42:12,2016-12-17 23:19:29,2016-12-17 23:19:29,Closed,Case Resolved - Police Officer responded to request under CAD # 163521492. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,"1486 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94110",9,Mission,"(37.749401053349, -122.416028571936)",Open311,
9,6633137,2016-12-15 20:22:28,2016-12-15 22:18:27,2016-12-15 22:18:27,Closed,Case Resolved - Police Officer responded to request under CAD # 163503473. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"1397 MINNA ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766993283293, -122.418999161848)",Open311,
10,6630357,2016-12-15 08:23:57,2016-12-15 09:09:17,2016-12-15 09:09:17,Closed,Case Resolved - Police Officer responded to request under CAD # 163500790. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,Intersection of 15TH ST and HARRISON ST,9,Mission,"(37.766725305156, -122.413227026717)",Open311,
11,6626697,2016-12-14 08:15:27,2016-12-14 11:26:52,2016-12-14 11:26:52,Closed,Case Resolved - Police Officer responded to request under CAD # 163490842. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,Intersection of 16TH ST and FOLSOM ST,9,Mission,"(37.7653147489607, -122.415308353435)",Open311,
12,6625837,2016-12-13 17:41:04,2016-12-14 07:44:23,2016-12-14 07:44:23,Closed,Case Resolved - Police Officer responded to request under CAD # 163482952. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"1885 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.766881071611, -122.419664048558)",Open311,
13,6625675,2016-12-13 16:47:06,2016-12-13 17:34:32,2016-12-13 17:34:32,Closed,Case Resolved - Police Officer responded to request under CAD # 163482770. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of 18TH ST and FLORIDA ST,9,Mission,"(37.7617009755953, -122.411090102877)",Open311,
14,6625208,2016-12-13 15:05:32,2016-12-13 18:49:21,2016-12-13 18:49:21,Closed,"Case Resolved - Unknown CAD Disposition, Default to Resolved",Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,Intersection of 26TH ST and SOUTH VAN NESS AVE,9,Mission,"(37.7491721206718, -122.415954626097)",Open311,
15,6622717,2016-12-13 08:29:01,2016-12-13 09:43:58,2016-12-13 09:43:58,Closed,Case Resolved - See CAD# 163480884 for details.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,"1985 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765277107348, -122.419512877188)",Open311,
16,6622702,2016-12-13 08:26:59,2016-12-13 09:08:26,2016-12-13 09:08:26,Closed,Case Resolved - See CAD# 163480883 for details.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,"1985 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,"(37.765277107348, -122.419512877188)",Open311,
17,6620469,2016-12-12 13:30:07,2016-12-12 20:15:38,2016-12-12 20:15:38,Closed,Case Resolved - Police Officer responded to request under CAD # 163472249. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"2048 BRYANT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.761130420644, -122.410127826554)",Open311,
18,6620044,2016-12-12 12:18:05,2016-12-12 19:47:31,2016-12-12 19:47:31,Closed,"Case Resolved - Unknown CAD Disposition, Default to Resolved",Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,Intersection of 17TH ST and SHOTWELL ST,9,Mission,"(37.7636351799971, -122.416227315149)",Open311,
19,6618169,2016-12-12 07:30:39,2016-12-16 08:25:25,2016-12-16 08:25:25,Closed,Case Resolved - Contacted SFPD,DPW Ops Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of 18TH ST and SAN CARLOS ST,9,Mission,"(37.7617892171553, -122.420128321734)",Open311,
20,6617222,2016-12-11 15:37:20,2016-12-11 21:13:59,2016-12-11 21:13:59,Closed,Case Resolved - Police Officer responded to request under CAD # 163462261. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - homeless_other - request_for_service,homeless_concerns - homeless_other - request_for_service,Intersection of 20TH ST and POTRERO AVE,10,Mission,"(37.759365354335, -122.406946939974)",Open311,
21,6616818,2016-12-11 12:53:06,2016-12-11 13:31:39,2016-12-11 13:31:39,Closed,Insufficient Information - Insufficient infomation provided for action to be taken.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of 20TH ST and FLORIDA ST,9,Mission,"(37.7591338604323, -122.410758686679)",Open311,
22,6609942,2016-12-08 21:31:58,2016-12-09 05:28:42,2016-12-09 05:28:42,Closed,Case Resolved - Police Officer responded to request under CAD # 163433585. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"2048 BRYANT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.761130420644, -122.410127826554)",Open311,
23,6609298,2016-12-08 15:59:01,2016-12-08 21:29:03,2016-12-08 21:29:03,Closed,Case Resolved - Police Officer responded to request under CAD # 163432461. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"2030 BRYANT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.76135040715, -122.410148723988)",Open311,
24,6606816,2016-12-08 03:45:17,2016-12-08 04:51:06,2016-12-08 04:51:06,Closed,Case Resolved - Police Officer responded to request under CAD # 163430317. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"2048 BRYANT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.761130420644, -122.410127826554)",Open311,
25,6606815,2016-12-08 03:43:21,2016-12-08 04:53:45,2016-12-08 04:53:45,Closed,Case Resolved - Police Officer responded to request under CAD # 163430316. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"517 YORK ST, SAN FRANCISCO, CA, 94110",10,Mission,"(37.762709273118, -122.409066623248)",Open311,
26,6606812,2016-12-08 03:41:04,2016-12-08 04:49:07,2016-12-08 04:49:07,Closed,Case Resolved - Police Officer responded to request under CAD # 163430308. Issue was addressed.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,Intersection of 18TH ST and FLORIDA ST,9,Mission,"(37.7617009755953, -122.411090102877)",Open311,
27,6602753,2016-12-06 18:45:17,2016-12-07 00:36:57,2016-12-07 00:36:57,Closed,Case Resolved - Police Officer responded to request under CAD # 163413223. Advised of violation.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"580 YORK ST, SAN FRANCISCO, CA, 94110",10,Mission,"(37.762111439113, -122.409379734077)",Open311,
28,6602750,2016-12-06 18:43:45,2016-12-07 00:35:17,2016-12-07 00:35:17,Closed,Case Resolved - Police Officer responded to request under CAD # 163413182. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - aggressive_behavior - request_for_service,homeless_concerns - aggressive_behavior - request_for_service,"2048 BRYANT ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.761130420644, -122.410127826554)",Open311,
29,6600084,2016-12-06 08:36:40,2016-12-06 12:27:06,2016-12-06 12:27:06,Closed,Case Resolved - Police Officer responded to request under CAD # 163410875. Individual(s) not found at location provided.,Police - Homeless Concerns Queue,General Requests,homeless_concerns - wellbeing_check - request_for_service,homeless_concerns - wellbeing_check - request_for_service,"2953 22ND ST, SAN FRANCISCO, CA, 94110",9,Mission,"(37.755706539151, -122.413364408083)",Open311,
